# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\Balibrea\Documents\FPGA\cores\ZPU_flex\imp_2\SDBootstrap.csv
# Generated on: Tue Jul 31 14:41:39 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
AUD_ADCDAT,Input,PIN_B6,3,B3_N1,PIN_B6,3.3-V LVTTL,,,
AUD_ADCLRCK,Output,PIN_A6,3,B3_N1,PIN_A6,3.3-V LVTTL,,,
AUD_BCLK,Bidir,PIN_A4,3,B3_N1,PIN_A4,3.3-V LVTTL,,,
AUD_DACDAT,Output,PIN_B5,3,B3_N1,PIN_B5,3.3-V LVTTL,,,
AUD_DACLRCK,Output,PIN_A5,3,B3_N1,PIN_A5,3.3-V LVTTL,,,
AUD_XCK,Output,PIN_B4,3,B3_N1,PIN_B4,3.3-V LVTTL,,,
CLOCK_24[1],Input,PIN_A12,4,B4_N1,PIN_A12,3.3-V LVTTL,,,
CLOCK_24[0],Input,PIN_B12,4,B4_N1,PIN_B12,3.3-V LVTTL,,,
CLOCK_27[1],Input,PIN_E12,3,B3_N0,PIN_E12,3.3-V LVTTL,,,
CLOCK_27[0],Input,PIN_D12,3,B3_N0,PIN_D12,,,,
CLOCK_50,Input,PIN_L1,2,B2_N1,PIN_L1,3.3-V LVTTL,,,
DRAM_ADDR[11],Output,PIN_N6,1,B1_N0,PIN_N6,,,,
DRAM_ADDR[10],Output,PIN_W3,1,B1_N1,PIN_W3,,,,
DRAM_ADDR[9],Output,PIN_N4,1,B1_N0,PIN_N4,,,,
DRAM_ADDR[8],Output,PIN_P3,1,B1_N0,PIN_P3,,,,
DRAM_ADDR[7],Output,PIN_P5,1,B1_N0,PIN_P5,,,,
DRAM_ADDR[6],Output,PIN_P6,1,B1_N0,PIN_P6,,,,
DRAM_ADDR[5],Output,PIN_R5,1,B1_N1,PIN_R5,,,,
DRAM_ADDR[4],Output,PIN_R6,1,B1_N1,PIN_R6,,,,
DRAM_ADDR[3],Output,PIN_Y4,1,B1_N1,PIN_Y4,,,,
DRAM_ADDR[2],Output,PIN_Y3,1,B1_N1,PIN_Y3,,,,
DRAM_ADDR[1],Output,PIN_W5,1,B1_N1,PIN_W5,,,,
DRAM_ADDR[0],Output,PIN_W4,1,B1_N1,PIN_W4,,,,
DRAM_BA_0,Output,PIN_U3,1,B1_N1,PIN_U3,,,,
DRAM_BA_1,Output,PIN_V4,1,B1_N1,PIN_V4,,,,
DRAM_CAS_N,Output,PIN_T3,1,B1_N1,PIN_T3,,,,
